,Price(last excuted),Buy executed,Buy Wt Price,Sell executed,Sell Wt Price,Total executed,Total Wt Price,Strength,Open,High,Low
2018-04-20 09:00:17,-6.122448979591838,0.0,0.0,0,0,0.0,0.0,0,-6.122448979591838,-6.122448979591838,-6.122448979591838
2018-04-20 09:00:18,-6.122448979591838,0.0,0.0,0,0,0.0,0.0,0,-6.122448979591838,-6.122448979591838,-6.122448979591838
2018-04-20 09:00:19,-6.122448979591838,0.0,0.0,0,0,0.0,0.0,0,-6.122448979591838,-6.122448979591838,-6.122448979591838
2018-04-20 09:00:20,-6.122448979591838,0.0,0.0,0,0,0.0,0.0,0,-6.122448979591838,-6.122448979591838,-6.122448979591838
2018-04-20 09:00:21,-6.122448979591838,0.0,0.0,0,0,0.0,0.0,0,-6.122448979591838,-6.122448979591838,-6.122448979591838
2018-04-20 09:00:22,-6.122448979591838,0.0,0.0,0,0,0.0,0.0,0,-6.122448979591838,-6.122448979591838,-6.122448979591838
2018-04-20 09:00:23,-6.122448979591838,0.0,0.0,0,0,0.0,0.0,0,-6.122448979591838,-6.122448979591838,-6.122448979591838
2018-04-20 09:00:24,-6.122448979591838,0.0,0.0,0,0,0.0,0.0,0,-6.122448979591838,-6.122448979591838,-6.122448979591838
2018-04-20 09:00:25,-6.122448979591838,0.0,0.0,0,0,0.0,0.0,0,-6.122448979591838,-6.122448979591838,-6.122448979591838
2018-04-20 09:00:26,-6.122448979591838,0.0,0.0,0,0,0.0,0.0,0,-6.122448979591838,-6.122448979591838,-6.122448979591838
2018-04-20 09:00:27,-6.122448979591838,0.0,0.0,0,0,0.0,0.0,0,-6.122448979591838,-6.122448979591838,-6.122448979591838
2018-04-20 09:00:28,-6.122448979591838,0.0,0.0,0,0,0.0,0.0,0,-6.122448979591838,-6.122448979591838,-6.122448979591838
2018-04-20 09:00:29,-6.122448979591838,0.0,0.0,0,0,0.0,0.0,0,-6.122448979591838,-6.122448979591838,-6.122448979591838
2018-04-20 09:00:30,-6.122448979591838,0.0,0.0,0,0,0.0,0.0,0,-6.122448979591838,-6.122448979591838,-6.122448979591838
2018-04-20 09:00:31,-6.122448979591838,0.0,0.0,0,0,0.0,0.0,0,-6.122448979591838,-6.122448979591838,-6.122448979591838
2018-04-20 09:00:32,-6.122448979591838,0.0,0.0,0,0,0.0,0.0,0,-6.122448979591838,-6.122448979591838,-6.122448979591838
2018-04-20 09:00:33,-6.122448979591838,0.0,0.0,0,0,0.0,0.0,0,-6.122448979591838,-6.122448979591838,-6.122448979591838
2018-04-20 09:00:34,-6.122448979591838,0.0,0.0,0,0,0.0,0.0,0,-6.122448979591838,-6.122448979591838,-6.122448979591838
2018-04-20 09:00:35,-6.122448979591838,0.0,0.0,0,0,0.0,0.0,0,-6.122448979591838,-6.122448979591838,-6.122448979591838
2018-04-20 09:00:36,-6.122448979591838,0.0,0.0,0,0,0.0,0.0,0,-6.122448979591838,-6.122448979591838,-6.122448979591838
2018-04-20 09:00:37,-6.122448979591838,0.0,0.0,0,0,0.0,0.0,0,-6.122448979591838,-6.122448979591838,-6.122448979591838
2018-04-20 09:00:38,-6.122448979591838,0.0,0.0,0,0,0.0,0.0,0,-6.122448979591838,-6.122448979591838,-6.122448979591838
2018-04-20 09:00:39,-6.122448979591838,0.0,0.0,0,0,0.0,0.0,0,-6.122448979591838,-6.122448979591838,-6.122448979591838
