,Price(last excuted),Buy executed,Buy Wt Price,Sell executed,Sell Wt Price,Total executed,Total Wt Price,Strength,Open,High,Low
2018-04-25 09:00:29,-1.6366612111292935,0.0,0.0,-8.505957897420389,-1.6366612111292935,-8.505957897420389,-1.6366612111292935,0.0,-1.6366612111292935,-1.6366612111292935,-1.6366612111292935
2018-04-25 09:00:30,-1.6366612111292935,0.0,0.0,0.0,-1.6366612111292935,0.0,-1.6366612111292935,0.0,-1.6366612111292935,-1.6366612111292935,-1.6366612111292935
2018-04-25 09:00:31,-1.963993453355144,0.0,0.0,-9.040040383350648,-1.848464426687201,-9.040040383350648,-1.848464426687201,0.0,-1.6366612111292935,-1.6366612111292935,-1.963993453355144
2018-04-25 09:00:32,-1.963993453355144,0.0,0.0,0.0,-1.848464426687201,0.0,-1.848464426687201,0.0,-1.6366612111292935,-1.6366612111292935,-1.963993453355144
2018-04-25 09:00:33,-1.963993453355144,0.0,0.0,0.0,-1.848464426687201,0.0,-1.848464426687201,0.0,-1.6366612111292935,-1.6366612111292935,-1.963993453355144
2018-04-25 09:00:34,-1.963993453355144,0.0,0.0,0.0,-1.848464426687201,0.0,-1.848464426687201,0.0,-1.6366612111292935,-1.6366612111292935,-1.963993453355144
2018-04-25 09:00:35,-1.963993453355144,0.0,0.0,0.0,-1.848464426687201,0.0,-1.848464426687201,0.0,-1.6366612111292935,-1.6366612111292935,-1.963993453355144
2018-04-25 09:00:36,-1.963993453355144,0.0,0.0,0.0,-1.848464426687201,0.0,-1.848464426687201,0.0,-1.6366612111292935,-1.6366612111292935,-1.963993453355144
2018-04-25 09:00:37,-1.963993453355144,0.0,0.0,0.0,-1.848464426687201,0.0,-1.848464426687201,0.0,-1.6366612111292935,-1.6366612111292935,-1.963993453355144
2018-04-25 09:00:38,-1.963993453355144,0.0,0.0,-8.376746165940382,-1.963993453355144,-8.376746165940382,-1.963993453355144,0.0,-1.6366612111292935,-1.6366612111292935,-1.963993453355144
2018-04-25 09:00:39,-1.963993453355144,0.0,0.0,0.0,-1.963993453355144,0.0,-1.963993453355144,0.0,-1.6366612111292935,-1.6366612111292935,-1.963993453355144
2018-04-25 09:00:40,-2.1276595744680837,0.0,0.0,-9.570668634412817,-2.1276595744680837,-9.570668634412817,-2.1276595744680837,0.0,-1.6366612111292935,-1.6366612111292935,-2.1276595744680837
2018-04-25 09:00:41,-2.1276595744680837,0.0,0.0,0.0,-2.1276595744680837,0.0,-2.1276595744680837,0.0,-1.6366612111292935,-1.6366612111292935,-2.1276595744680837
2018-04-25 09:00:42,-2.1276595744680837,0.0,0.0,-9.570668634412817,-2.1276595744680837,-9.570668634412817,-2.1276595744680837,0.0,-1.6366612111292935,-1.6366612111292935,-2.1276595744680837
2018-04-25 09:00:43,-2.1276595744680837,0.0,0.0,0.0,-2.1276595744680837,0.0,-2.1276595744680837,0.0,-1.6366612111292935,-1.6366612111292935,-2.1276595744680837
